,LPS,NACE (DELETE!),GNFR,E-PRTR/PRTR Facility ID,Height class (TODO),Longitude,Latitude,NOx (as NO2) [kt],NMVOC [kt],SOx (as SO2) [kt],NH3 [kt],PM2.5 [kt],PM10 [kt],CO [kt],Pb [t],Cd [t],Hg [t],PCDD/ PCDF (dioxins/ furans) [g I-Teq],PAHs [t],HCB [kg],PCBs [kg]
1210,"Tiergut Elbland GmbH, SZA Gallschütz",146: Raising of swine/pigs,,14-65-58128660000,,13.0270790670584,51.1957206749749,,,,0.0132,,,,,,,,,,
1211,Tiergut Zwethau GmbH Schweinemastanlage Zwethau,146: Raising of swine/pigs,,14-82-58248600000,,13.0575432799111,51.5871757543207,,,,0.0531,,,,,,,,,,
1212,Tierproduktion GbR Klug/Braune -,147: Raising of poultry,,13943,,11.5114139259343,51.1866288227833,,,,0.0393,,,,,,,,,,
1213,Tierproduktion Hecklingen KG,146: Raising of swine/pigs,,20080,,11.5450274056665,51.846723097852,,,,0.0328,,,,,,,,,,
1214,Tierproduktionsgesellschaft Thimmendorf mbH,146: Raising of swine/pigs,,16-85-69994640000,,11.561823258992,50.5483717498862,,,,0.0225,,,,,,,,,,
1215,Tierzucht Packisch GmbH & Co KG,146: Raising of swine/pigs,,14-80-00056450000,,13.155016476667,51.5222568318668,,,,0.0324,,,,,,,,,,
1216,Tobias Heimann GbR,146: Raising of swine/pigs,,06-05-774-9974690,,8.82584320969938,51.6725170109494,,,,0.011,,,,,,,,,,
1217,Tranel Alfons,146: Raising of swine/pigs,,03-88-45602530660,,7.24391044378348,52.525476918643,,,,0.0107,,,,,,,,,,
1218,Transfertex GmbH & Co. Thermodruck KG,1812: Other printing,E_Solvents,06-09-671-0183-0001,,9.04055396018771,50.0229483669177,,,0.163,,,,,,,,,,,
1219,Trianel Gaskraftwerk Hamm GmbH & Co. KG,3511: Production of electricity,A_PublicPower,06-05-900-9140178,,7.92866419093948,51.6732902551032,0.205,,,,,,,,,,,,,
1220,Trianel Kohlekraftwerk Lünen GmbH & Co. KG,3511: Production of electricity,A_PublicPower,06-05-900-9141660,,7.4652362544489,51.6141140844466,1.994,1.806,,,,,1.546,,,,,,,
1221,Truthahnfarm Sambach GmbH,147: Raising of poultry,,16-90-72560200000,,10.4170475654722,51.2258429989093,,,,0.0148,,,,,,,,,,
1222,"UPM GmbH, Werk Augsburg",1712: Manufacture of paper and paperboard,B_Industry,06-09-761-0026-0001,,10.901434674664,48.3798939440389,,,0.218,,,,,,,,,,,
1223,"UPM GmbH, Werk Schongau",1712: Manufacture of paper and paperboard,B_Industry,06-09-190-0036-0002,,10.9000399885386,47.8072757691364,0.374,,,,,,,,,,,,,
